,height,time,type,date,datetime,moonphase
0,-0.3511789828268986,05:06:00,low,2020-11-10,2020-11-10,0.84
1,-0.4430325603339138,17:53:00,low,2020-11-10,2020-11-10,0.84
2,-0.4533521596453535,06:05:00,low,2020-11-11,2020-11-11,0.87
3,-0.5795022380686995,18:44:00,low,2020-11-11,2020-11-11,0.87
4,-0.5599460008307918,06:54:00,low,2020-11-12,2020-11-12,0.9
5,-0.6997849761028928,19:29:00,low,2020-11-12,2020-11-12,0.9
6,-0.6515285478199323,07:38:00,low,2020-11-13,2020-11-13,0.94
7,-0.7881486156576367,20:11:00,low,2020-11-13,2020-11-13,0.94
8,-0.7142027544298075,08:20:00,low,2020-11-14,2020-11-14,0.97
9,-0.8344369493414598,20:51:00,low,2020-11-14,2020-11-14,0.97
10,-0.7386683678449049,09:02:00,low,2020-11-15,2020-11-15,0.0
11,-0.8341696698604281,21:31:00,low,2020-11-15,2020-11-15,0.0
12,-0.720832717856568,09:43:00,low,2020-11-16,2020-11-16,0.04
13,-0.7888114851743735,22:12:00,low,2020-11-16,2020-11-16,0.04
14,-0.6623795882414412,10:25:00,low,2020-11-17,2020-11-17,0.07
15,-0.7054134949790091,22:52:00,low,2020-11-17,2020-11-17,0.07
16,-0.5707661373907268,11:09:00,low,2020-11-18,2020-11-18,0.11
17,-0.5955534154507026,23:35:00,low,2020-11-18,2020-11-18,0.11
18,-0.4588014966984898,11:57:00,low,2020-11-19,2020-11-19,0.14
19,-0.4740228645388765,00:22:00,low,2020-11-19,2020-11-19,0.14
20,-0.3448905882987766,12:55:00,low,2020-11-20,2020-11-20,0.17
21,-0.3584871522487973,01:18:00,low,2020-11-20,2020-11-20,0.17
22,-0.2564366578797092,14:12:00,low,2020-11-21,2020-11-21,0.2
23,-0.2721635066898973,02:32:00,low,2020-11-22,2020-11-22,0.25
24,-0.2297816171303931,15:49:00,low,2020-11-22,2020-11-22,0.25
25,-0.2412836356078094,04:00:00,low,2020-11-23,2020-11-23,0.27
26,-0.2685428502077219,17:13:00,low,2020-11-23,2020-11-23,0.27
27,-0.2633769105021188,05:14:00,low,2020-11-24,2020-11-24,0.3
28,-0.3351172303608925,18:10:00,low,2020-11-24,2020-11-24,0.3
29,-0.3103972049524396,06:08:00,low,2020-11-25,2020-11-25,0.34
30,-0.4054608114344245,18:51:00,low,2020-11-25,2020-11-25,0.34
31,-0.3634740205193024,06:49:00,low,2020-11-26,2020-11-26,0.37
32,-0.4718381836655117,19:25:00,low,2020-11-26,2020-11-26,0.37
33,-0.4139767494885727,07:24:00,low,2020-11-27,2020-11-27,0.4
34,-0.5311134049147328,19:55:00,low,2020-11-27,2020-11-27,0.4
35,-0.4570840645911523,07:57:00,low,2020-11-28,2020-11-28,0.43
36,-0.5800282927324181,20:24:00,low,2020-11-28,2020-11-28,0.43
37,-0.4892466560143719,08:28:00,low,2020-11-29,2020-11-29,0.47
38,-0.6146869123433257,20:54:00,low,2020-11-29,2020-11-29,0.47
39,-0.5078840164124774,08:59:00,low,2020-11-30,2020-11-30,0.5
40,-0.6315765336513581,21:24:00,low,2020-11-30,2020-11-30,0.5
41,-0.5115915028029417,09:31:00,low,2020-12-01,2020-12-01,0.54
42,-0.6286092604447601,21:55:00,low,2020-12-01,2020-12-01,0.54
43,-0.5001358271501394,10:06:00,low,2020-12-02,2020-12-02,0.57
44,-0.6055806171206322,22:28:00,low,2020-12-02,2020-12-02,0.57
45,-0.4743303162111592,10:43:00,low,2020-12-03,2020-12-03,0.61
46,-0.5641860519444937,23:05:00,low,2020-12-03,2020-12-03,0.61
47,-0.4364046088165678,11:25:00,low,2020-12-04,2020-12-04,0.64
48,-0.5082215108012212,23:47:00,low,2020-12-04,2020-12-04,0.64
49,-0.3917653542212967,12:16:00,low,2020-12-05,2020-12-05,0.68
50,-0.4448660451199354,00:37:00,low,2020-12-05,2020-12-05,0.68
51,-0.3528788084387676,13:19:00,low,2020-12-06,2020-12-06,0.71
52,-0.3877524817402899,01:39:00,low,2020-12-06,2020-12-06,0.71
53,-0.3425415042911734,14:37:00,low,2020-12-07,2020-12-07,0.75
54,-0.3588490868427836,02:54:00,low,2020-12-08,2020-12-08,0.75
55,-0.3816882735056152,15:59:00,low,2020-12-08,2020-12-08,0.75
56,-0.376035456078133,04:13:00,low,2020-12-09,2020-12-09,0.82
57,-0.4641109560851356,17:12:00,low,2020-12-09,2020-12-09,0.82
58,-0.4332391869836549,05:22:00,low,2020-12-10,2020-12-10,0.85
59,-0.5642353821610568,18:13:00,low,2020-12-10,2020-12-10,0.85
60,-0.5086892904342084,06:22:00,low,2020-12-11,2020-12-11,0.89
61,-0.6584431083243241,19:05:00,low,2020-12-11,2020-12-11,0.89
