height,time,type,date
-0.3511789828268986,03:06:00,low,2020-11-10
-0.4430325603339138,15:53:00,low,2020-11-10
-0.4533521596453535,04:05:00,low,2020-11-11
-0.5795022380686995,16:44:00,low,2020-11-11
-0.5599460008307918,04:54:00,low,2020-11-12
-0.6997849761028928,17:29:00,low,2020-11-12
-0.6515285478199323,05:38:00,low,2020-11-13
-0.7881486156576367,18:11:00,low,2020-11-13
-0.7142027544298075,06:20:00,low,2020-11-14
-0.8344369493414598,18:51:00,low,2020-11-14
-0.7386683678449049,07:02:00,low,2020-11-15
-0.8341696698604281,19:31:00,low,2020-11-15
-0.720832717856568,07:43:00,low,2020-11-16
-0.7888114851743735,20:12:00,low,2020-11-16
-0.6623795882414412,08:25:00,low,2020-11-17
-0.7054134949790091,20:52:00,low,2020-11-17
-0.5707661373907268,09:09:00,low,2020-11-18
-0.5955534154507026,21:35:00,low,2020-11-18
-0.4588014966984898,09:57:00,low,2020-11-19
-0.4740228645388765,22:22:00,low,2020-11-19
-0.3448905882987766,10:55:00,low,2020-11-20
-0.3584871522487973,23:18:00,low,2020-11-20
-0.2564366578797092,12:12:00,low,2020-11-21
-0.2721635066898973,00:32:00,low,2020-11-22
-0.2297816171303931,13:49:00,low,2020-11-22
-0.2412836356078094,02:00:00,low,2020-11-23
-0.2685428502077219,15:13:00,low,2020-11-23
-0.2633769105021188,03:14:00,low,2020-11-24
-0.3351172303608925,16:10:00,low,2020-11-24
-0.3103972049524396,04:08:00,low,2020-11-25
-0.4054608114344245,16:51:00,low,2020-11-25
-0.3634740205193024,04:49:00,low,2020-11-26
-0.4718381836655117,17:25:00,low,2020-11-26
-0.4139767494885727,05:24:00,low,2020-11-27
-0.5311134049147328,17:55:00,low,2020-11-27
-0.4570840645911523,05:57:00,low,2020-11-28
-0.5800282927324181,18:24:00,low,2020-11-28
-0.4892466560143719,06:28:00,low,2020-11-29
-0.6146869123433257,18:54:00,low,2020-11-29
-0.5078840164124774,06:59:00,low,2020-11-30
-0.6315765336513581,19:24:00,low,2020-11-30
-0.5115915028029417,07:31:00,low,2020-12-01
-0.6286092604447601,19:55:00,low,2020-12-01
-0.5001358271501394,08:06:00,low,2020-12-02
-0.6055806171206322,20:28:00,low,2020-12-02
-0.4743303162111592,08:43:00,low,2020-12-03
-0.5641860519444937,21:05:00,low,2020-12-03
-0.4364046088165678,09:25:00,low,2020-12-04
-0.5082215108012212,21:47:00,low,2020-12-04
-0.3917653542212967,10:16:00,low,2020-12-05
-0.4448660451199354,22:37:00,low,2020-12-05
-0.3528788084387676,11:19:00,low,2020-12-06
-0.3877524817402899,23:39:00,low,2020-12-06
-0.3425415042911734,12:37:00,low,2020-12-07
-0.3588490868427836,00:54:00,low,2020-12-08
-0.3816882735056152,13:59:00,low,2020-12-08
-0.376035456078133,02:13:00,low,2020-12-09
-0.4641109560851356,15:12:00,low,2020-12-09
-0.4332391869836549,03:22:00,low,2020-12-10
-0.5642353821610568,16:13:00,low,2020-12-10
-0.5086892904342084,04:22:00,low,2020-12-11
-0.6584431083243241,17:05:00,low,2020-12-11
-0.5813470435449727,05:16:00,low,2020-12-12
-0.7303268359004264,17:53:00,low,2020-12-12
-0.6355724820976035,06:05:00,low,2020-12-13
-0.7699821722975192,18:38:00,low,2020-12-13
-0.6613751898769449,06:51:00,low,2020-12-14
-0.7733253859102035,19:21:00,low,2020-12-14
-0.6543648721787908,07:36:00,low,2020-12-15
-0.7415468553012706,20:03:00,low,2020-12-15
-0.6155627918372861,08:21:00,low,2020-12-16
-0.6802310475419184,20:43:00,low,2020-12-16
-0.5507612987952217,09:05:00,low,2020-12-17
-0.5980106128509232,21:24:00,low,2020-12-17
-0.4693993356776105,09:51:00,low,2020-12-18
-0.504933498814229,22:04:00,low,2020-12-18
-0.3832750653277482,10:39:00,low,2020-12-19
-0.4110018236629678,22:47:00,low,2020-12-19
-0.3057592750951609,11:34:00,low,2020-12-20
-0.3256771686936691,23:35:00,low,2020-12-20
-0.2519538716175596,12:40:00,low,2020-12-21
-0.2592793772506939,00:35:00,low,2020-12-22
-0.2365296547080086,13:55:00,low,2020-12-22
-0.2243298123836313,01:46:00,low,2020-12-23
-0.2623098347154137,15:05:00,low,2020-12-23
-0.2274545920297758,02:58:00,low,2020-12-24
-0.3159258126808327,16:02:00,low,2020-12-24
-0.2600288553592087,03:58:00,low,2020-12-25
-0.3822991957920144,16:48:00,low,2020-12-25
-0.3080374227053082,04:48:00,low,2020-12-26
-0.4511963663388651,17:27:00,low,2020-12-26
-0.3610794391970123,05:31:00,low,2020-12-27
-0.5154296570586265,18:03:00,low,2020-12-27
-0.4125713182589774,06:09:00,low,2020-12-28
-0.5695637650913807,18:37:00,low,2020-12-28
-0.4582783492613949,06:46:00,low,2020-12-29
-0.6097435453667039,19:10:00,low,2020-12-29
-0.49525224450249,07:23:00,low,2020-12-30
-0.6336115951834255,19:44:00,low,2020-12-30
-0.5210763953433494,08:00:00,low,2020-12-31
-0.6399437499704735,20:19:00,low,2020-12-31
-0.5334741460621474,08:38:00,low,2021-01-01
-0.628212821918541,20:55:00,low,2021-01-01
-0.530579111097212,09:20:00,low,2021-01-02
-0.5985403760412303,21:35:00,low,2021-01-02
-0.5121261218387341,10:06:00,low,2021-01-03
-0.552455953577497,22:19:00,low,2021-01-03
-0.4816154274025116,10:58:00,low,2021-01-04
-0.4947257224667682,23:09:00,low,2021-01-04
-0.4491249518544256,12:00:00,low,2021-01-05
-0.4362788811611381,00:10:00,low,2021-01-06
-0.4326226252285866,13:13:00,low,2021-01-06
-0.3963890116200971,01:23:00,low,2021-01-07
-0.4506175956352274,14:30:00,low,2021-01-07
-0.3955438536696602,02:43:00,low,2021-01-08
-0.5048497511249757,15:44:00,low,2021-01-08
-0.4361234141565439,03:57:00,low,2021-01-09
-0.5774978750416478,16:48:00,low,2021-01-09
-0.4993711170355918,05:02:00,low,2021-01-10
-0.6468539038344769,17:43:00,low,2021-01-10
-0.5622023021637578,05:59:00,low,2021-01-11
-0.697136530090879,18:31:00,low,2021-01-11
-0.6074523273106733,06:49:00,low,2021-01-12
-0.7198410458138963,19:15:00,low,2021-01-12
-0.6256147627939108,07:34:00,low,2021-01-13
-0.7127765475308132,19:55:00,low,2021-01-13
-0.6141472308432884,08:17:00,low,2021-01-14
-0.6786901437888846,20:32:00,low,2021-01-14
-0.576142767526793,08:56:00,low,2021-01-15
-0.6235427173899408,21:07:00,low,2021-01-15
-0.5184909300571443,09:34:00,low,2021-01-16
-0.5544665112598676,21:39:00,low,2021-01-16
-0.4496779764287261,10:10:00,low,2021-01-17
-0.4777717791852344,22:11:00,low,2021-01-17
-0.3777749630903788,10:48:00,low,2021-01-18
-0.3977400801636434,22:44:00,low,2021-01-18
-0.3096300470462396,11:29:00,low,2021-01-19
-0.3171478712567036,23:22:00,low,2021-01-19
-0.2526964929507513,12:22:00,low,2021-01-20
-0.2405843403768509,00:11:00,low,2021-01-21
-0.2205480370702837,13:33:00,low,2021-01-21
-0.1825344274668331,01:25:00,low,2021-01-22
-0.2333326679108448,14:59:00,low,2021-01-22
-0.1723295739777979,03:00:00,low,2021-01-23
-0.2913614688905629,16:12:00,low,2021-01-23
-0.2167502472666673,04:19:00,low,2021-01-24
-0.3719172418888595,17:06:00,low,2021-01-24
-0.2906232757327096,05:16:00,low,2021-01-25
-0.457141040416916,17:48:00,low,2021-01-25
-0.3745759498791973,06:00:00,low,2021-01-26
-0.5372060687313139,18:25:00,low,2021-01-26
-0.4582277115775712,06:39:00,low,2021-01-27
-0.6062509637775089,18:59:00,low,2021-01-27
-0.5345755359156801,07:15:00,low,2021-01-28
-0.6601081528447408,19:32:00,low,2021-01-28
-0.5972688028920855,07:50:00,low,2021-01-29
-0.6950285372831789,20:05:00,low,2021-01-29
-0.6398232624512575,08:27:00,low,2021-01-30
-0.7071111678196537,20:39:00,low,2021-01-30
-0.6561244316702036,09:05:00,low,2021-01-31
-0.6925994058172233,21:16:00,low,2021-01-31
-0.6419282334618476,09:46:00,low,2021-02-01
-0.6490982001528297,21:55:00,low,2021-02-01
-0.5970771540289964,10:32:00,low,2021-02-02
-0.5776254920571985,22:40:00,low,2021-02-02
-0.5283994274607439,11:25:00,low,2021-02-03
-0.4857629401542069,23:33:00,low,2021-02-03
-0.4539214039619182,12:30:00,low,2021-02-04
-0.3934525810668224,00:41:00,low,2021-02-05
-0.4072181560700921,13:53:00,low,2021-02-05
-0.3404970453404103,02:11:00,low,2021-02-06
-0.4223928599246943,15:23:00,low,2021-02-06
-0.3631772749250895,03:45:00,low,2021-02-07
-0.4905735511493624,16:39:00,low,2021-02-07
-0.4408244196005925,05:01:00,low,2021-02-08
-0.5733086335585518,17:38:00,low,2021-02-08
-0.5286958173268774,05:59:00,low,2021-02-09
-0.6425651780313262,18:25:00,low,2021-02-09
-0.5982589863276966,06:47:00,low,2021-02-10
-0.6852590950069687,19:06:00,low,2021-02-10
-0.6370701185950094,07:28:00,low,2021-02-11
-0.6981129415056678,19:41:00,low,2021-02-11
-0.6431754097064507,08:04:00,low,2021-02-12
-0.6838480432941738,20:13:00,low,2021-02-12
-0.6211429061246596,08:36:00,low,2021-02-13
-0.6481045367348973,20:41:00,low,2021-02-13
-0.5785642175562146,09:06:00,low,2021-02-14
-0.5966011732076788,21:08:00,low,2021-02-14
-0.5227700632163742,09:34:00,low,2021-02-15
-0.5330287755916044,21:33:00,low,2021-02-15
-0.4585205192517412,10:02:00,low,2021-02-16
-0.4585092272636183,22:00:00,low,2021-02-16
-0.3876877622776817,10:33:00,low,2021-02-17
-0.3728829071251016,22:29:00,low,2021-02-17
-0.3114148700398614,11:10:00,low,2021-02-18
-0.2773020632690368,23:05:00,low,2021-02-18
-0.2355339930613071,12:03:00,low,2021-02-19
-0.1792834099701446,00:00:00,low,2021-02-20
-0.1865580178819748,13:38:00,low,2021-02-20
-0.1171356800803168,01:58:00,low,2021-02-21
-0.2206497713803235,15:37:00,low,2021-02-21
-0.1643994632210512,04:02:00,low,2021-02-22
-0.3143756721473622,16:47:00,low,2021-02-22
-0.2708068643597137,05:06:00,low,2021-02-23
-0.4212730341778167,17:32:00,low,2021-02-23
-0.3905879206577489,05:50:00,low,2021-02-24
-0.5251390960203285,18:08:00,low,2021-02-24
-0.5083865080881607,06:26:00,low,2021-02-25
-0.618390070997754,18:41:00,low,2021-02-25
-0.6144148014022531,07:00:00,low,2021-02-26
-0.69488467580474,19:12:00,low,2021-02-26
-0.6992656596002955,07:33:00,low,2021-02-27
-0.7480802274072091,19:45:00,low,2021-02-27
-0.7535512228742811,08:08:00,low,2021-02-28
-0.7710303329093439,20:18:00,low,2021-02-28
-0.7691787527724846,08:44:00,low,2021-03-01
-0.7575498914786901,20:53:00,low,2021-03-01
-0.7413335954623288,09:22:00,low,2021-03-02
-0.7040930403351122,21:31:00,low,2021-03-02
-0.6706228596090553,10:04:00,low,2021-03-03
-0.611959488760024,22:13:00,low,2021-03-03
-0.565334132243722,10:53:00,low,2021-03-04
-0.4901136364992189,23:03:00,low,2021-03-04
-0.445320999740676,11:54:00,low,2021-03-05
-0.3617776453757282,00:11:00,low,2021-03-06
-0.3524338645119157,13:22:00,low,2021-03-06
-0.2839215936711417,01:56:00,low,2021-03-07
-0.348425506801372,15:09:00,low,2021-03-07
-0.3212633119615889,03:46:00,low,2021-03-08
-0.4250418870420984,16:31:00,low,2021-03-08
-0.4256547375182488,05:01:00,low,2021-03-09
-0.5195137632765575,17:28:00,low,2021-03-09
-0.5306826894351078,05:54:00,low,2021-03-10
-0.597861445744479,18:12:00,low,2021-03-10
-0.6090260322290066,06:36:00,low,2021-03-11
-0.6487686985052089,18:48:00,low,2021-03-11
-0.653545979394047,07:11:00,low,2021-03-12
-0.6713376672366299,19:19:00,low,2021-03-12
-0.6667482666649162,07:41:00,low,2021-03-13
-0.6693863062836592,19:46:00,low,2021-03-13
-0.655356181540525,08:08:00,low,2021-03-14
-0.6477233825838472,20:11:00,low,2021-03-14
-0.6261783575959924,08:33:00,low,2021-03-15
-0.6095665130762006,20:34:00,low,2021-03-15
-0.5832641206936958,08:57:00,low,2021-03-16
-0.5556544287408525,20:58:00,low,2021-03-16
-0.5272151749799241,09:22:00,low,2021-03-17
-0.4852032092348243,21:23:00,low,2021-03-17
-0.4567191403657031,09:50:00,low,2021-03-18
-0.3978186308126776,21:51:00,low,2021-03-18
-0.3712889379385796,10:22:00,low,2021-03-19
-0.2953293959875461,22:24:00,low,2021-03-19
-0.2748326082999144,11:06:00,low,2021-03-20
-0.1847366506430182,23:13:00,low,2021-03-20
-0.1869829442739909,12:27:00,low,2021-03-21
-0.1030479213168283,01:15:00,low,2021-03-22
